NumVisits,AvgProdCount,AvgDiscount,AvgSalesValue,MorningPct,AfternoonPct
86,20.08139535,8.105116279,50.35069767,46.51162791,51.1627907
45,15.86666667,7.444222222,43.42977778,8.888888889,60
47,19.61702128,14.36510638,56.4512766,14.89361702,76.59574468
30,10.03333333,3.855,40.00366667,13.33333333,56.66666667
40,5.55,2.95825,19.4765,2.5,67.5
250,7.164,3.31336,23.98464,25.6,61.2
59,21.79661017,8.178135593,57.6279661,11.86440678,72.88135593
113,17.51327434,9.542477876,48.9820354,25.66371681,49.55752212
20,11,9.055,39.871,30,60
9,7.777777778,2.76,26.03777778,0,88.88888889
5,3.6,2.196,6.678,40,40
7,12.57142857,4.671428571,38.03,71.42857143,28.57142857
275,8.538181818,5.917054545,47.96698182,36.72727273,45.45454545
140,6.621428571,4.214142857,19.72278571,10.71428571,44.28571429
55,5.618181818,2.883454545,17.68236364,25.45454545,41.81818182
98,5.275510204,1.747857143,15.42877551,36.73469388,57.14285714
124,8.322580645,8.948064516,41.44862903,45.96774194,54.03225806
163,11.60122699,5.82,43.67429448,37.42331288,59.50920245
421,11.03562945,7.232422803,26.83992874,19.47743468,71.73396675
387,5.279069767,2.103152455,19.34395349,21.70542636,67.95865633
27,10.2962963,6.135555556,32.2262963,7.407407407,48.14814815
136,12.02941176,5.916764706,46.00029412,46.32352941,47.79411765
110,6.836363636,2.508909091,28.71436364,17.27272727,44.54545455
74,8.405405405,5.981621622,25.82581081,20.27027027,56.75675676
94,10.84042553,5.61106383,33.50691489,20.21276596,59.57446809
113,7.309734513,2.846371681,17.14504425,79.6460177,15.04424779
405,6.148148148,1.180518519,14.16355556,3.950617284,37.03703704
125,5.096,2.46552,16.95696,5.6,30.4
69,6.884057971,4.32173913,19.4642029,18.84057971,21.73913043
28,5.214285714,3.603214286,22.24285714,21.42857143,57.14285714
69,15.68115942,13.72,63.72318841,49.27536232,47.82608696
116,8.474137931,3.361896552,29.15362069,31.03448276,62.06896552
52,6.230769231,5.287115385,23.09115385,25,57.69230769
36,3.777777778,1.94,11.31611111,30.55555556,55.55555556
60,5.15,2.556,18.6585,16.66666667,73.33333333
221,6.149321267,3.918597285,22.16402715,53.39366516,38.91402715
63,5.825396825,8.64984127,47.24857143,12.6984127,57.14285714
27,5.37037037,2.191111111,26.15296296,22.22222222,70.37037037
64,29.046875,12.69078125,78.6509375,48.4375,28.125
400,9.3975,3.2339,32.269725,50,47.25
73,14.36986301,8.410273973,42.56342466,0,60.2739726
89,10.70786517,6.132247191,22.31303371,86.51685393,13.48314607
106,3.641509434,0.833867925,8.34754717,18.86792453,73.58490566
32,10.28125,4.179375,27.43,21.875,59.375
57,4.157894737,1.131578947,14.15947368,38.59649123,21.05263158
137,15.18978102,11.12007299,61.55788321,23.35766423,56.93430657
111,5.648648649,2.644594595,20.98315315,16.21621622,50.45045045
50,7.14,4.224,23.4566,30,52
121,14.23140496,12.01280992,53.26471074,17.3553719,52.0661157
